Price,Close,High,Low,Open,Volume
Ticker,TSM,TSM,TSM,TSM,TSM
Date,,,,,
1997-10-09,3.1390388011932373,3.2577418486876897,2.802713105453024,2.802713105453024,10201979
1997-10-10,3.2841193675994873,3.4951474080659986,3.158821786642833,3.481957815275551,10669148
1997-10-13,3.211578845977783,3.290714032523787,3.1983894904177848,3.290714032523787,3044363
1997-10-14,3.079686164855957,3.191794373996914,2.9939559540775353,3.1851995785269387,2549907
1997-10-15,2.9939563274383545,3.0005508870272304,2.88184810431696,2.8884421904988304,3167153
1997-10-16,2.9016315937042236,2.993956132033291,2.888442001980305,2.993956132033291,1770821
1997-10-17,2.6510372161865234,2.7763350710181287,2.6444426545384325,2.769740272666461,3287121
1997-10-20,2.321305513381958,2.3740622255440393,2.2091968195149807,2.215791615650801,11499985
1997-10-21,2.6510372161865234,2.6510372161865234,2.4136308665230706,2.426819753115675,6924737
1997-10-22,2.3410894870758057,2.446603398120627,2.334494690107859,2.4400088378562077,4458573
1997-10-23,2.202601671218872,2.268547965108851,2.110277143817053,2.268547965108851,12494072
1997-10-24,2.0838985443115234,2.268547566685379,2.0311413764431703,2.255358688949272,9498638
1997-10-27,1.8069250583648682,2.0311420951540784,1.8003303804598982,2.0311420951540784,4905042
1997-10-28,2.215791940689087,2.215791940689087,1.6486545388380196,1.661844014692698,10417921
1997-10-29,2.0113584995269775,2.090493927542966,2.004763702998012,2.031142179003341,7548100
1997-10-30,1.9586013555526733,1.9783850318945657,1.8926551759876808,1.899249379713101,2797370
1997-10-31,2.0838985443115234,2.130060444849861,2.024547055926826,2.0311413764431703,3611270
1997-11-03,2.393846273422241,2.4268193123779964,2.268548678049665,2.268548678049665,6205871
1997-11-04,2.393846273422241,2.4202252253346197,2.327900195510731,2.374062592070908,3145042
1997-11-05,2.5850906372070312,2.6048743184082896,2.440008888176611,2.440008888176611,3979642
1997-11-06,2.5719010829925537,2.690603871231798,2.5455226067048837,2.6774149881432336,3649848
1997-11-07,2.512549877166748,2.525738761864957,2.374062682227097,2.3872520403323914,4470805
1997-11-10,2.52573823928833,2.624657576149175,2.519143916655366,2.611468457476259,2435114
1997-11-11,2.4729812145233154,2.5191435974359297,2.4663864193190395,2.479575773024128,2194707
1997-11-12,2.3344945907592773,2.393846104020298,2.327900030775501,2.393846104020298,3905309
1997-11-13,2.3147101402282715,2.446602479513701,2.2817371145827736,2.360872281450593,2482160
1997-11-14,2.3147101402282715,2.393845307096091,2.2817371145827736,2.360872281450593,2205999
1997-11-17,2.47957706451416,2.47957706451416,2.42681985891863,2.472982502578564,3290415
1997-11-18,2.321305513381958,2.4004406999768286,2.308116157813815,2.4004406999768286,2240813
1997-11-19,2.255359649658203,2.2949267731276515,2.228980699432336,2.2949267731276515,1442908
1997-11-20,2.202601671218872,2.242169494893551,2.196007112840912,2.2091964663002917,2578134
1997-11-21,2.3147101402282715,2.3147101402282715,2.215791063291778,2.215791063291778,4223342
1997-11-24,2.261953592300415,2.2685483886129845,2.2026020824118144,2.2026020824118144,2254927
1997-11-25,2.321305513381958,2.35427854724707,2.275142887245205,2.275142887245205,1083946
1997-11-26,2.281738042831421,2.301521724244984,2.2553598009466693,2.294926927070262,1136637
1997-11-28,2.321305513381958,2.321305513381958,2.314710717246138,2.321305513381958,1083475
1997-12-01,2.215791940689087,2.215791940689087,2.1828186652835715,2.215791940689087,2365485
1997-12-02,2.215791940689087,2.2553597764942923,2.2091971435858646,2.2355756218881577,2203176
1997-12-03,2.228980541229248,2.255359489582855,2.1960075067218687,2.255359489582855,2783727
1997-12-04,2.321305513381958,2.35427854724707,2.321305513381958,2.334494395543107,2721625
1997-12-05,2.327899217605591,2.3476833640530566,2.308115544564994,2.3213048966288263,1796226
1997-12-08,2.426818609237671,2.479575787666094,2.413629728861629,2.413629728861629,2020166
1997-12-09,2.321305513381958,2.3740622255440393,2.321305513381958,2.3740622255440393,1487132
1997-12-10,2.222386360168457,2.354278743316698,2.215791800186924,2.354278743316698,1393980
1997-12-11,2.123467445373535,2.1300615325536953,2.0904941690302707,2.123467445373535,3128576
1997-12-12,2.1036832332611084,2.149845629529299,2.1036832332611084,2.1168725907821053,2271863
1997-12-15,1.9256280660629272,2.090493315283175,1.9256280660629272,2.090493315283175,5162855
1997-12-16,1.9849796295166016,2.017952658802462,1.9124387757249373,1.9256282478130922,3736884
1997-12-17,1.9190341234207153,2.0113588033870453,1.9124394442472334,1.9915751209219208,3310174
1997-12-18,1.8464927673339844,1.9058442728063376,1.8464927673339844,1.9058442728063376,1023256
1997-12-19,1.9586013555526733,1.9849797090269334,1.8201143192903206,1.8333032001481084,3056124
1997-12-22,1.9388171434402466,1.9783849682582486,1.9190334677347116,1.9454118203604913,1266485
1997-12-23,1.8794658184051514,1.9058441718328463,1.8728710229326884,1.9058441718328463,813430
1997-12-24,1.8728713989257812,1.9058445544455493,1.8662767204811235,1.8794661957221996,742860
