Price,Close,High,Low,Open,Volume
Ticker,SAP,SAP,SAP,SAP,SAP
Date,,,,,
1995-11-08,9.576620101928711,9.576620101928711,9.576620101928711,9.576620101928711,2400
1995-11-09,9.466033935546875,9.466033935546875,9.466033935546875,9.466033935546875,22000
1995-11-10,9.333333015441895,9.333333015441895,9.333333015441895,9.333333015441895,34800
1995-11-13,9.466033935546875,9.466033935546875,9.466033935546875,9.466033935546875,7200
1995-11-14,9.466033935546875,9.466033935546875,9.466033935546875,9.466033935546875,13600
1995-11-15,9.687202453613281,9.687202453613281,9.687202453613281,9.687202453613281,73200
1995-11-16,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,16800
1995-11-17,9.731437683105469,9.731437683105469,9.731437683105469,9.731437683105469,1200
1995-11-20,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,44400
1995-11-21,9.576620101928711,9.576620101928711,9.576620101928711,9.576620101928711,20800
1995-11-22,9.466033935546875,9.466033935546875,9.466033935546875,9.466033935546875,45600
1995-11-24,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,6400
1995-11-27,9.598736763000488,9.598736763000488,9.598736763000488,9.598736763000488,9600
1995-11-28,9.731437683105469,9.731437683105469,9.731437683105469,9.731437683105469,20800
1995-11-29,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,68400
1995-11-30,9.488150596618652,9.488150596618652,9.488150596618652,9.488150596618652,6400
1995-12-01,9.466033935546875,9.466033935546875,9.466033935546875,9.466033935546875,21600
1995-12-04,9.554500579833984,9.554500579833984,9.554500579833984,9.554500579833984,2400
1995-12-05,9.642970085144043,9.642970085144043,9.642970085144043,9.642970085144043,136800
1995-12-06,9.687202453613281,9.687202453613281,9.687202453613281,9.687202453613281,3600
1995-12-07,9.576620101928711,9.576620101928711,9.576620101928711,9.576620101928711,1600
1995-12-08,9.753554344177246,9.753554344177246,9.753554344177246,9.753554344177246,8800
1995-12-11,9.819904327392578,9.819904327392578,9.819904327392578,9.819904327392578,16000
1995-12-12,9.864141464233398,9.864141464233398,9.864141464233398,9.864141464233398,18000
1995-12-13,9.88625717163086,9.88625717163086,9.88625717163086,9.88625717163086,96000
1995-12-14,9.819904327392578,9.819904327392578,9.819904327392578,9.819904327392578,15600
1995-12-15,9.90837287902832,9.90837287902832,9.90837287902832,9.90837287902832,6400
1995-12-18,8.93522834777832,8.93522834777832,8.93522834777832,8.93522834777832,79200
1995-12-19,9.023696899414062,9.023696899414062,9.023696899414062,9.023696899414062,16800
1995-12-20,9.04581356048584,9.04581356048584,9.04581356048584,9.04581356048584,39600
1995-12-21,9.13428020477295,9.13428020477295,9.13428020477295,9.13428020477295,55200
