Date,Actual,Predicted,MAE,MSE,RMSE,MAPE,R2
2023-12-07,43292.6640625,43679.25,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-08,44166.6015625,44163.33,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-09,43725.984375,44473.27,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-10,43779.69921875,44449.844,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-11,41243.83203125,44317.51,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-12,41450.22265625,43361.08,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-13,42890.7421875,42471.28,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-14,43023.97265625,42362.81,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-15,41929.7578125,42662.305,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-16,42240.1171875,42700.64,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-17,41364.6640625,42740.812,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-18,42623.5390625,42486.09,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-19,42270.52734375,42606.36,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-20,43652.25,42717.883,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-21,43869.15234375,43244.54,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-22,43997.90234375,43833.93,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-23,43739.54296875,44299.855,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
2023-12-24,43016.1171875,44473.832,1856.4356218956955,5806560.622742407,2409.6806059605506,2.3079307420484674,0.9890975312360424
