Date,Sentiment_Score,News_Count,Sources,Sentiment_Score_Raw
2026-01-08,0.0,1,GoogleNews,0.0
2026-01-12,0.20094999999999996,1,GoogleNews,0.4018999999999999
2026-01-15,0.2288333333333333,2,GoogleNews,0.2846
2026-01-19,0.3560999999999999,1,GoogleNews,0.3818
2026-01-21,0.22213333333333332,1,GoogleNews,0.0
2026-01-22,0.12726666666666667,1,GoogleNews,0.0
2026-01-24,-0.14049999999999999,1,GoogleNews,-0.4215
2026-01-26,-0.14049999999999999,1,GoogleNews,0.0
2026-01-27,-0.14049999999999999,1,GoogleNews,0.0
2026-01-28,0.01674583333333333,8,GoogleNews,0.0502375
2026-01-29,0.02595916666666666,20,GoogleNews,0.027639999999999984
2026-01-30,0.05470526041666665,128,"GoogleNews,FinViz",0.08623828124999998
2026-01-31,0.0656491706730769,26,"FinViz,GoogleNews",0.08306923076923076
