Date,Sentiment_Score,News_Count,Sources,Sentiment_Score_Raw
2026-01-05,0.0,3,GoogleNews,0.0
2026-01-07,-0.22020000000000003,1,GoogleNews,-0.44040000000000007
2026-01-08,-0.2446666666666667,3,GoogleNews,-0.2936
2026-01-09,-0.03636666666666669,1,GoogleNews,0.6249
2026-01-10,-0.03636666666666668,1,GoogleNews,-0.4404
2026-01-14,0.0615,1,GoogleNews,0.0
2026-01-15,-0.1468,2,GoogleNews,0.0
2026-01-20,0.0,2,GoogleNews,0.0
2026-01-27,0.0,2,GoogleNews,0.0
2026-01-28,0.037777777777777785,3,GoogleNews,0.11333333333333336
2026-01-29,0.04918888888888889,3,GoogleNews,0.03423333333333333
2026-01-30,0.07907309941520468,38,"GoogleNews,FinViz",0.08965263157894736
2026-01-31,0.058092235217673815,54,"FinViz,GoogleNews",0.05039074074074075
2026-02-01,0.08911712410656271,25,"FinViz,GoogleNews",0.12730800000000003
2026-02-02,-0.050375419753086396,4,GoogleNews,-0.328825
