Date,Sentiment_Score,News_Count,Sources,Sentiment_Score_Raw
2026-01-03,-0.296,1,GoogleNews,-0.296
2026-01-05,-0.05904999999999999,1,GoogleNews,0.1779
2026-01-06,0.09848333333333333,2,GoogleNews,0.41355
2026-01-07,0.09848333333333335,1,GoogleNews,-0.296
2026-01-08,0.07495,2,GoogleNews,0.10730000000000003
2026-01-09,0.019055555555555565,3,GoogleNews,0.24586666666666665
2026-01-11,0.0683888888888889,2,GoogleNews,-0.148
2026-01-12,0.09192222222222222,1,GoogleNews,0.1779
2026-01-13,0.06926666666666667,1,GoogleNews,0.1779
2026-01-14,0.14825,2,GoogleNews,0.08895
2026-01-15,0.19872777777777775,3,GoogleNews,0.32933333333333337
2026-01-17,0.26914444444444446,2,GoogleNews,0.38915
2026-01-18,0.23949444444444445,1,GoogleNews,0.0
2026-01-20,0.22446333333333332,5,GoogleNews,0.28424
2026-01-21,0.3734133333333333,1,GoogleNews,0.8360000000000001
2026-01-22,0.35782444444444444,3,GoogleNews,-0.04676666666666665
2026-01-23,0.2459611111111111,2,GoogleNews,-0.05135
2026-01-26,-0.048588888888888924,2,GoogleNews,-0.04765
2026-01-27,-0.033000000000000036,2,GoogleNews,0.0
2026-01-28,0.004376190476190439,14,GoogleNews,0.060778571428571425
2026-01-29,0.06470767195767192,9,GoogleNews,0.13334444444444443
2026-01-30,0.1045204497354497,60,"GoogleNews,FinViz",0.11943833333333335
2026-01-31,0.08255475308641973,27,"FinViz,GoogleNews",-0.005118518518518516
2026-02-01,0.11490104938271604,12,"FinViz,GoogleNews",0.23038333333333338
