Date,Sentiment_Score,News_Count,Sources,Sentiment_Score_Raw
2026-01-03,0.5927,1,GoogleNews,0.5927
2026-01-06,0.29635,1,GoogleNews,0.0
2026-01-07,0.19756666666666667,2,GoogleNews,0.0
2026-01-09,0.09515,2,GoogleNews,0.28545
2026-01-13,0.09515,2,GoogleNews,0.0
2026-01-14,-0.03211666666666666,1,GoogleNews,-0.3818
2026-01-16,-0.00686666666666665,1,GoogleNews,0.3612
2026-01-17,0.18376666666666666,1,GoogleNews,0.5719
2026-01-18,0.31103333333333333,2,GoogleNews,0.0
2026-01-19,0.2660666666666667,1,GoogleNews,0.2263
2026-01-20,0.18353333333333333,2,GoogleNews,0.3243
2026-01-21,0.10121666666666666,2,GoogleNews,-0.24695
2026-01-23,0.025783333333333325,1,GoogleNews,0.0
2026-01-26,0.016349999999999993,1,GoogleNews,0.296
2026-01-27,0.15268888888888887,6,GoogleNews,0.16206666666666666
2026-01-28,0.22987777777777776,3,GoogleNews,0.23156666666666667
2026-01-29,0.19228777777777775,10,GoogleNews,0.18323
2026-01-30,0.17283107279693488,58,"FinViz,GoogleNews",0.10369655172413794
2026-01-31,0.10871323653962493,38,"FinViz,GoogleNews",0.03921315789473683
2026-02-01,0.13436434765073604,18,"FinViz,GoogleNews",0.2601833333333333
