Date,Sentiment_Score,News_Count,Sources,Sentiment_Score_Raw
2026-01-15,0.0,1,GoogleNews,0.0
2026-01-21,0.0734,3,GoogleNews,0.1468
2026-01-22,0.048933333333333336,1,GoogleNews,0.0
2026-01-26,0.048933333333333336,1,GoogleNews,0.0
2026-01-27,-0.008533333333333334,5,GoogleNews,-0.0256
2026-01-28,0.0126,3,GoogleNews,0.0634
2026-01-29,0.030634920634920636,21,GoogleNews,0.054104761904761905
2026-01-30,0.050121494708994706,72,"GoogleNews,FinViz",0.03285972222222222
2026-01-31,0.04327679773929774,44,"FinViz,GoogleNews",0.0428659090909091
2026-02-01,0.04814912348118871,23,"FinViz,GoogleNews",0.06872173913043479
2026-02-02,0.09739588274044797,2,GoogleNews,0.1806
