,MAE,MSE,RMSE,MAPE,R2
SES,42.0423186260889,2773.144196757129,52.66065131345347,0.21686723827649276,-1.4155600155903056
Holt,61.594396899399854,4951.673429716921,70.36812793955032,0.3474150325580137,-3.313177930333442
HW_no_season,61.556705257509336,4945.712115672341,70.32575712832632,0.34721161911437404,-3.307985300298803
HW_season_mul,15.695235706606722,380.8790326445407,19.516122377269024,0.09369858033212684,0.6682335656729488
