Date,Actual,SES_Pred,Holt_Pred,HW_no_season_Pred,HW_season_mul_Pred
2021-02-08,133.7555389404297,133.61747265269,133.81161500369052,133.81154203446516,133.26185203589063
2021-02-09,132.8762664794922,133.61747265269,133.98647209847067,133.98633399678624,131.64567290447533
2021-02-10,132.2705535888672,133.61747265269,134.16132919325085,134.16112595910732,128.1871458288075
2021-02-11,132.0165252685547,133.61747265269,134.336186288031,134.33591792142838,126.79926937408221
2021-02-12,132.25099182128906,133.61747265269,134.51104338281118,134.51070988374946,126.52633245591218
2021-02-15,132.25099182128906,133.61747265269,134.68590047759136,134.68550184607054,123.03438443969664
2021-02-16,130.1212158203125,133.61747265269,134.8607575723715,134.86029380839162,125.3231937160933
2021-02-17,127.82537841796876,133.61747265269,135.0356146671517,135.0350857707127,128.56249087043022
2021-02-18,126.721435546875,133.61747265269,135.21047176193184,135.20987773303378,127.70978574059785
2021-02-19,126.87774658203124,133.61747265269,135.38532885671202,135.38466969535483,129.52716398771227
2021-02-22,123.0969009399414,133.61747265269,135.5601859514922,135.5594616576759,128.27171941128236
2021-02-23,122.96012115478516,133.61747265269,135.73504304627235,135.734253619997,125.69116431551387
2021-02-24,122.46187591552734,133.61747265269,135.90990014105253,135.90904558231807,123.16990628726623
2021-02-25,118.20233917236328,133.61747265269,136.08475723583268,136.08383754463915,125.34010932783029
2021-02-26,118.46609497070312,133.61747265269,136.25961433061286,136.25862950696023,121.73754555421202
2021-03-01,124.8456573486328,133.61747265269,136.43447142539304,136.4334214692813,118.54644363671102
2021-03-02,122.23719787597656,133.61747265269,136.6093285201732,136.60821343160237,121.37567908511012
2021-03-03,119.24768829345705,133.61747265269,136.78418561495337,136.78300539392345,116.74186795417691
2021-03-04,117.36214447021484,133.61747265269,136.95904270973352,136.95779735624453,116.4607401755646
2021-03-05,118.6224136352539,133.61747265269,137.1338998045137,137.1325893185656,116.18918026325261
2021-03-08,113.67900848388672,133.61747265269,137.30875689929385,137.3073812808867,115.60633466523309
2021-03-09,118.30001831054688,133.61747265269,137.48361399407403,137.48217324320777,113.27850991428308
2021-03-10,117.2155990600586,133.61747265269,137.6584710888542,137.65696520552882,113.25019440025135
2021-03-11,119.14997100830078,133.61747265269,137.83332818363436,137.8317571678499,115.3752920401647
2021-03-12,118.24139404296876,133.61747265269,138.00818527841454,138.00654913017098,115.60334635151526
2021-03-15,121.13320922851562,133.61747265269,138.1830423731947,138.18134109249206,115.8537388674861
2021-03-16,122.67679595947266,133.61747265269,138.35789946797487,138.35613305481314,114.02098949379985
2021-03-17,121.88548278808594,133.61747265269,138.53275656275505,138.53092501713422,113.98779910308924
2021-03-18,117.75292205810548,133.61747265269,138.7076136575352,138.7057169794553,113.51722064523403
2021-03-19,117.22537231445312,133.61747265269,138.88247075231538,138.88050894177636,111.7075690541659
2021-03-22,120.54703521728516,133.61747265269,139.05732784709554,139.05530090409744,111.05870547864305
2021-03-23,119.71663665771484,133.61747265269,139.23218494187572,139.23009286641852,111.65183006968378
2021-03-24,117.32305908203124,133.61747265269,139.4070420366559,139.4048848287396,114.19920722185641
2021-03-25,117.81155395507812,133.61747265269,139.58189913143605,139.57967679106068,114.2098791755537
2021-03-26,118.4172592163086,133.61747265269,139.75675622621623,139.75446875338176,115.01307495124347
2021-03-29,118.59312438964844,133.61747265269,139.93161332099638,139.9292607157028,115.7212243216772
2021-03-30,117.13743591308594,133.61747265269,140.10647041577656,140.1040526780239,115.3160805850751
2021-03-31,119.33560180664062,133.61747265269,140.28132751055674,140.27884464034497,115.8659256454309
2021-04-01,120.16602325439452,133.61747265269,140.4561846053369,140.45363660266605,117.44079550187342
2021-04-02,120.16602325439452,133.61747265269,140.63104170011707,140.62842856498713,117.19413294408366
2021-04-05,122.9992218017578,133.61747265269,140.80589879489722,140.8032205273082,116.27418170265672
2021-04-06,123.30207061767578,133.61747265269,140.9807558896774,140.9780124896293,116.07603584396514
2021-04-07,124.95310974121094,133.61747265269,141.15561298445758,141.15280445195035,114.2907293859736
2021-04-08,127.35643005371094,133.61747265269,141.33047007923773,141.32759641427143,113.54297513469564
2021-04-09,129.93560791015625,133.61747265269,141.5053271740179,141.5023883765925,113.46170285877724
2021-04-12,128.21617126464844,133.61747265269,141.68018426879806,141.6771803389136,112.10185542440306
2021-04-13,131.3326416015625,133.61747265269,141.85504136357824,141.85197230123467,112.78517917983112
2021-04-14,128.98797607421875,133.61747265269,142.02989845835842,142.02676426355575,112.10682810654193
2021-04-15,131.40109252929688,133.61747265269,142.20475555313857,142.20155622587683,110.80953102893048
2021-04-16,131.0689239501953,133.61747265269,142.37961264791875,142.37634818819788,110.55306521635315
2021-04-19,131.7332000732422,133.61747265269,142.5544697426989,142.55114015051896,111.30311505965228
2021-04-20,130.0430908203125,133.61747265269,142.72932683747908,142.72593211284004,110.57263697424955
2021-04-21,130.42410278320312,133.61747265269,142.90418393225923,142.90072407516112,110.05689920027311
2021-04-22,128.90005493164062,133.61747265269,143.0790410270394,143.0755160374822,109.83647712778487
2021-04-23,131.2252197265625,133.61747265269,143.2538981218196,143.25030799980328,109.19933715140533
2021-04-26,131.615966796875,133.61747265269,143.42875521659974,143.42509996212436,109.65449350510232
2021-04-27,131.29356384277344,133.61747265269,143.60361231137992,143.59989192444542,110.57181314813413
2021-04-28,130.50228881835938,133.61747265269,143.77846940616007,143.7746838867665,110.58187473896018
2021-04-29,130.404541015625,133.61747265269,143.95332650094025,143.94947584908758,109.94750453147292
2021-04-30,128.43109130859375,133.61747265269,144.12818359572043,144.12426781140866,109.36053605205863
2021-05-03,129.48619079589844,133.61747265269,144.30304069050058,144.29905977372974,109.31663596551182
2021-05-04,124.90426635742188,133.61747265269,144.47789778528076,144.47385173605082,108.83826016021882
2021-05-05,125.14851379394533,133.61747265269,144.6527548800609,144.64864369837187,109.79152887139622
2021-05-06,126.75072479248048,133.61747265269,144.8276119748411,144.82343566069295,108.90666256321042
2021-05-07,127.42594909667967,133.61747265269,145.00246906962127,144.99822762301403,108.58085065582677
2021-05-10,124.13780975341795,133.61747265269,145.17732616440142,145.1730195853351,108.60576685663423
2021-05-11,123.2179183959961,133.61747265269,145.3521832591816,145.3478115476562,108.74821395095807
2021-05-12,120.14505004882812,133.61747265269,145.52704035396175,145.52260350997727,108.31514136807216
2021-05-13,122.29801940917967,133.61747265269,145.70189744874193,145.69739547229835,108.31020842049739
2021-05-14,124.72499084472656,133.61747265269,145.8767545435221,145.8721874346194,108.36280504314826
2021-05-17,123.57019805908205,133.61747265269,146.05161163830226,146.0469793969405,108.03316019864268
2021-05-18,122.18058776855467,133.61747265269,146.22646873308244,146.22177135926157,107.76659172023116
2021-05-19,122.02399444580078,133.61747265269,146.4013258278626,146.39656332158265,108.7983475936617
2021-05-20,124.58796691894533,133.61747265269,146.57618292264277,146.57135528390373,108.62444724510831
2021-05-21,122.74816131591795,133.61747265269,146.75104001742295,146.7461472462248,108.63950220962144
2021-05-24,124.38246154785156,133.61747265269,146.9258971122031,146.92093920854586,108.72634925479552
2021-05-25,124.1867446899414,133.61747265269,147.10075420698328,147.09573117086694,109.91062660747093
2021-05-26,124.13780975341795,133.61747265269,147.27561130176343,147.27052313318802,110.20568254295304
2021-05-27,122.60137939453124,133.61747265269,147.4504683965436,147.4453150955091,111.40890427480304
2021-05-28,121.94572448730467,133.61747265269,147.6253254913238,147.62010705783018,112.2203804479397
2021-05-31,121.94572448730467,133.61747265269,147.80018258610394,147.79489902015126,109.85437021065839
2021-06-01,121.62277221679688,133.61747265269,147.97503968088412,147.96969098247234,110.38450090256309
2021-06-02,122.3860855102539,133.61747265269,148.14989677566427,148.1444829447934,110.8624442718749
2021-06-03,120.8985824584961,133.61747265269,148.32475387044445,148.31927490711448,111.18178855219612
2021-06-04,123.1983413696289,133.61747265269,148.49961096522463,148.49406686943556,111.45025074197275
2021-06-07,123.20813751220705,133.61747265269,148.67446806000478,148.66885883175664,111.04726493999381
2021-06-08,124.03016662597656,133.61747265269,148.84932515478496,148.84365079407772,110.13282513154803
2021-06-09,124.41183471679688,133.61747265269,149.02418224956511,149.0184427563988,111.30564161486224
2021-06-10,123.41364288330078,133.61747265269,149.1990393443453,149.19323471871985,111.75081875984611
2021-06-11,124.62712097167967,133.61747265269,149.37389643912547,149.36802668104093,111.18463192688075
2021-06-14,127.69019317626952,133.61747265269,149.54875353390563,149.542818643362,111.97070271507562
2021-06-15,126.8681411743164,133.61747265269,149.7236106286858,149.7176106056831,110.86469605021405
2021-06-16,127.3672332763672,133.61747265269,149.89846772346596,149.89240256800417,111.48928958658414
2021-06-17,128.97219848632812,133.61747265269,150.07332481824614,150.06719453032525,111.82744031156513
2021-06-18,127.67064666748048,133.61747265269,150.24818191302631,150.24198649264633,111.68481468685277
2021-06-21,129.47129821777344,133.61747265269,150.42303900780647,150.41677845496739,110.80894842017533
2021-06-22,131.1153564453125,133.61747265269,150.59789610258665,150.59157041728847,109.94113909205824
2021-06-23,130.84133911132812,133.61747265269,150.7727531973668,150.76636237960955,111.32743875274801
2021-06-24,130.55755615234375,133.61747265269,150.94761029214698,150.94115434193063,111.78078002589878
2021-06-25,130.2639617919922,133.61747265269,151.12246738692716,151.1159463042517,113.25394999989916
2021-06-28,131.8982696533203,133.61747265269,151.2973244817073,151.2907382665728,113.60064799094
2021-06-29,133.4151611328125,133.61747265269,151.4721815764875,151.46553022889384,113.56264327925031
2021-06-30,134.03163146972656,133.61747265269,151.64703867126764,151.64032219121492,112.64224979521343
2021-07-01,134.33502197265625,133.61747265269,151.82189576604782,151.815114153536,114.00737370424606
2021-07-02,136.967529296875,133.61747265269,151.996752860828,151.98990611585708,114.67481220825672
2021-07-05,136.967529296875,133.61747265269,152.17160995560815,152.16469807817816,114.04858924513594
2021-07-06,138.9834442138672,133.61747265269,152.34646705038833,152.33949004049924,114.8649123978787
2021-07-07,141.4789581298828,133.61747265269,152.52132414516848,152.51428200282032,115.57285560246493
2021-07-08,140.17738342285156,133.61747265269,152.69618123994866,152.68907396514138,114.39886351809152
2021-07-09,142.00743103027344,133.61747265269,152.8710383347288,152.86386592746246,113.80655075464246
2021-07-12,141.4104461669922,133.61747265269,153.045895429509,153.03865788978354,111.99798527990966
2021-07-13,142.5260467529297,133.61747265269,153.22075252428917,153.21344985210462,111.8003182755854
