ds,Actual,Prophet_Improved_Pred
2021-02-08,133.75553894042972,77.57779244443377
2021-02-09,132.87626647949213,77.52333535027095
2021-02-10,132.27055358886722,77.39887760706233
2021-02-11,132.0165252685547,77.18911634548095
2021-02-12,132.250991821289,77.06752060155829
2021-02-15,132.250991821289,78.0542533284233
2021-02-16,130.12121582031244,77.03712024436807
2021-02-17,127.82537841796874,76.96131224319974
2021-02-18,126.72143554687497,76.80533150213368
2021-02-19,126.87774658203124,76.74126450805674
2021-02-22,123.09690093994146,76.91309972479415
2021-02-23,122.96012115478517,76.96932684731173
2021-02-24,122.4618759155273,76.96228450782965
2021-02-25,118.20233917236325,76.87517818772893
2021-02-26,118.46609497070307,76.87973892679405
2021-03-01,124.8456573486328,77.2517581566899
2021-03-02,122.23719787597652,77.37086736794997
2021-03-03,119.2476882934571,77.42358602699875
2021-03-04,117.36214447021482,77.39245554417712
2021-03-05,118.62241363525389,77.45013495878541
2021-03-08,113.6790084838867,77.96132549707504
2021-03-09,118.3000183105469,78.11831030133301
2021-03-10,117.21559906005855,78.2036246068502
2021-03-11,119.14997100830081,78.19941286411921
2021-03-12,118.24139404296872,78.28020256569172
2021-03-15,121.13320922851562,78.8359587305388
2021-03-16,122.67679595947261,78.99818749290674
2021-03-17,121.88548278808595,79.08330400385361
2021-03-18,117.75292205810548,79.07341637810879
2021-03-19,117.22537231445308,79.1454059525317
2021-03-22,120.54703521728513,79.65624640075201
2021-03-23,119.71663665771489,79.7969370594356
2021-03-24,117.32305908203128,79.85720578836985
2021-03-25,117.8115539550781,79.81950001339422
2021-03-26,118.41725921630855,79.86305018058631
2021-03-29,118.59312438964841,80.2869905664361
2021-03-30,117.13743591308592,80.3984831695721
2021-03-31,119.33560180664058,80.42966862091684
2021-04-01,120.16602325439456,80.3633319035446
2021-04-02,120.16602325439456,80.38046808633813
2021-04-05,122.99922180175783,80.73877372584425
2021-04-06,123.30207061767575,80.83239921027966
2021-04-07,124.95310974121097,80.84733944271551
2021-04-08,127.35643005371094,80.7661876156272
2021-04-09,129.93560791015622,80.77081172812676
2021-04-12,128.21617126464847,81.10053799204513
2021-04-13,131.33264160156253,81.18539702770568
2021-04-14,128.98797607421875,81.19074561885705
2021-04-15,131.40109252929688,81.0985509240769
2021-04-16,131.06892395019534,81.09104889415221
2021-04-19,131.73320007324213,81.37125374935465
2021-04-20,130.04309082031253,81.4330453162849
2021-04-21,130.4241027832031,81.41124841246297
2021-04-22,128.90005493164062,81.28768224152026
2021-04-23,131.2252197265625,81.24519062409448
2021-04-26,131.61596679687506,81.39906092422382
2021-04-27,131.29356384277347,81.41260077066305
2021-04-28,130.5022888183594,81.34058533994335
2021-04-29,130.40454101562497,81.16586462186307
2021-04-30,128.43109130859375,81.0722555211367
2021-05-03,129.4861907958985,81.0836200403436
2021-05-04,124.90426635742188,81.05766836632722
2021-05-05,125.14851379394537,80.95265716614075
2021-05-06,126.75072479248044,80.75288661531111
2021-05-07,127.42594909667969,80.64265351166722
2021-05-10,124.13780975341791,80.66582069450567
2021-05-11,123.21791839599615,80.66777653370163
2021-05-12,120.1450500488281,80.60382960159205
2021-05-13,122.29801940917963,80.45842089935152
2021-05-14,124.72499084472653,80.41524111120727
2021-05-17,123.57019805908207,80.71395938374876
2021-05-18,122.18058776855469,80.83037395141606
2021-05-19,122.02399444580078,80.89000038998125
2021-05-20,124.58796691894531,80.87537221538035
2021-05-21,122.748161315918,80.96949020468925
2021-05-24,124.38246154785156,81.70262654743308
2021-05-25,124.18674468994142,81.96370082942315
2021-05-26,124.13780975341791,82.1632225271282
2021-05-27,122.60137939453124,82.28091995580779
2021-05-28,121.94572448730464,82.50097257518946
2021-05-31,121.94572448730464,83.33026093497085
2021-06-01,121.62277221679683,83.89483833030015
2021-06-02,122.3860855102539,84.15644501949366
2021-06-03,120.89858245849608,84.31732051944715
2021-06-04,123.19834136962892,84.565915459611
2021-06-07,123.20813751220702,85.61241956703046
2021-06-08,124.03016662597655,85.91823686795306
2021-06-09,124.41183471679685,86.12880618733708
2021-06-10,123.41364288330077,86.22368053348437
2021-06-11,124.6271209716797,86.39775478917198
2021-06-14,127.69019317626952,87.18456401606404
2021-06-15,126.86814117431642,87.39657461488765
2021-06-16,127.3672332763672,87.51271012754512
2021-06-17,128.97219848632815,87.51494905639767
2021-06-18,127.67064666748051,87.60375880153534
2021-06-21,129.47129821777344,88.19438075280945
2021-06-22,131.11535644531253,88.36442302713111
2021-06-23,130.8413391113281,88.45155502659536
2021-06-24,130.5575561523437,88.4382835359547
2021-06-25,130.26396179199216,88.52765168855073
2021-06-28,131.89826965332028,89.21135789367335
2021-06-29,133.41516113281247,89.43870105179093
2021-06-30,134.0316314697266,89.59312715704445
2021-07-01,134.33502197265628,89.65495183831538
2021-07-02,136.96752929687494,89.82813832576939
2021-07-05,136.96752929687494,110.74199122282285
2021-07-06,138.9834442138672,91.1137924658537
2021-07-07,141.4789581298828,91.35648021862767
2021-07-08,140.1773834228516,91.4982964523712
2021-07-09,142.00743103027344,91.74545516811544
2021-07-12,141.41044616699213,92.87523390282462
2021-07-13,142.52604675292974,93.22450150680733
2021-07-14,145.96101379394534,93.47863212710024
2021-07-15,145.3053131103515,93.61416239467289
2021-07-16,143.26002502441403,93.84230449136004
2021-07-19,139.40428161621097,94.83719245514439
2021-07-20,143.02513122558597,95.11501686908188
2021-07-21,142.29115295410153,95.2851601834649
2021-07-22,143.66128540039065,95.32571671408884
2021-07-23,145.38362121582037,95.45400646039838
2021-07-26,145.80445861816403,96.1332215107264
2021-07-27,143.63188171386716,96.30431935156402
2021-07-28,141.88017272949224,96.3692517043736
2021-07-29,142.52604675292974,96.30786262400485
2021-07-30,142.74137878417972,96.34151726484959
2021-08-02,142.4086303710938,96.78696254690091
2021-08-03,144.20925903320315,96.89758686379133
2021-08-04,143.80801391601562,96.91075316203094
2021-08-05,143.9156951904297,96.80615219626692
2021-08-06,143.2296447753906,96.80610541176445
2021-08-09,143.18064880371097,97.19778756117165
2021-08-10,142.70042419433588,97.30205957978598
2021-08-11,142.95521545410156,97.31233278160009
2021-08-12,145.92486572265628,97.20696551838218
2021-08-13,146.13073730468747,97.20819238802349
2021-08-16,148.11048889160162,97.60390620095554
2021-08-17,147.1990051269531,97.70586531686976
2021-08-18,143.44528198242188,97.71058542737956
2021-08-19,143.77850341796878,97.59606645722887
2021-08-20,145.23881530761713,97.58562742378184
2021-08-23,146.72857666015622,97.93303359166848
2021-08-24,146.6403198242187,98.01588223283619
2021-08-25,145.4054107666015,98.0012759582688
2021-08-26,144.60174560546878,97.86837808924776
2021-08-27,145.64067077636713,97.84264807054602
2021-08-30,150.07064819335935,98.17492269584083
2021-08-31,148.8063354492188,98.26677625419214
2021-09-01,149.4727935791015,98.26985447082599
2021-09-02,150.59007263183588,98.16409598097317
2021-09-03,151.22711181640622,98.17649872753174
2021-09-06,151.22711181640622,97.71216752301316
2021-09-07,153.56953430175787,98.86753043987943
2021-09-08,152.0210113525391,98.9633992845629
2021-09-09,151.00173950195312,98.95843522911962
2021-09-10,146.0032806396485,99.08024182284623
2021-09-13,146.57173156738278,99.95970153497639
2021-09-14,145.1702117919922,100.25971246580859
2021-09-15,146.0621032714844,100.4771496520026
2021-09-16,145.82685852050784,100.5874100804283
2021-09-17,143.1512298583985,100.81956225987484
2021-09-20,140.09338378906244,101.9762184568738
2021-09-21,140.57357788085943,102.34070179106192
2021-09-22,142.94544982910156,102.60373456107492
2021-09-23,143.90588378906256,102.73873332937715
2021-09-24,143.99411010742182,102.97890498832795
2021-09-27,142.47500610351568,104.0489314267112
2021-09-28,139.08386230468753,104.34418461579952
2021-09-29,139.98556518554688,104.5172944457197
2021-09-30,138.68209838867182,104.54283593531875
2021-10-01,139.8091735839844,104.66022420036063
2021-10-04,136.36904907226568,105.29529054605204
2021-10-05,138.2998199462891,105.42844746313924
2021-10-06,139.17208862304685,105.43454163657198
2021-10-07,140.43641662597656,105.29115054561909
2021-10-08,140.0541381835937,105.24249755741036
2021-10-11,139.9659576416016,104.39286456842524
2021-10-12,138.6918640136719,105.41173840800384
