ds,Actual,Prophet_Pred
2021-02-08,133.7555389404297,76.6330057736464
2021-02-09,132.8762664794922,76.59962746624265
2021-02-10,132.2705535888672,76.57130770833317
2021-02-11,132.0165252685547,76.5232479986283
2021-02-12,132.25099182128906,76.46805328951521
2021-02-15,132.25099182128906,76.36641862197213
2021-02-16,130.1212158203125,76.35702852231377
2021-02-17,127.82537841796876,76.35596180039421
2021-02-18,126.721435546875,76.3378191766875
2021-02-19,126.87774658203124,76.31456518864633
2021-02-22,123.0969009399414,76.31422409118252
2021-02-23,122.96012115478516,76.3382206209909
2021-02-24,122.46187591552734,76.36931502469298
2021-02-25,118.20233917236328,76.3815542204854
2021-02-26,118.46609497070312,76.38641157963731
2021-03-01,124.8456573486328,76.45300533596654
2021-03-02,122.23719787597656,76.49267890871509
2021-03-03,119.24768829345705,76.5359397419915
2021-03-04,117.36214447021484,76.55685394844498
2021-03-05,118.6224136352539,76.56700041875695
2021-03-08,113.67900848388672,76.63136533380427
2021-03-09,118.30001831054688,76.66533129335514
2021-03-10,117.2155990600586,76.70106275949537
2021-03-11,119.14997100830078,76.71307321443828
2021-03-12,118.24139404296876,76.71340504553864
2021-03-15,121.13320922851562,76.74746707856731
2021-03-16,122.67679595947266,76.77248596549495
2021-03-17,121.88548278808594,76.80048105876631
2021-03-18,117.75292205810548,76.80627452522658
2021-03-19,117.22537231445312,76.8021594173989
2021-03-22,120.54703521728516,76.83504508751561
2021-03-23,119.71663665771484,76.86390762577939
2021-03-24,117.32305908203124,76.89779027405127
2021-03-25,117.81155395507812,76.91137867572621
2021-03-26,118.4172592163086,76.91677537927424
2021-03-29,118.59312438964844,76.98594174843608
2021-03-30,117.13743591308594,77.02847254293366
2021-03-31,119.33560180664062,77.07626351914253
2021-04-01,120.16602325439452,77.10366664313585
2021-04-02,120.16602325439452,77.12246093653033
2021-04-05,122.9992218017578,77.22641972544307
2021-04-06,123.30207061767578,77.27794758672185
2021-04-07,124.95310974121094,77.33313899393984
2021-04-08,127.35643005371094,77.36623898825897
2021-04-09,129.93560791015625,77.38896998059685
2021-04-12,128.21617126464844,77.49435855874361
2021-04-13,131.3326416015625,77.54319595513971
2021-04-14,128.98797607421875,77.59436211669954
2021-04-15,131.40109252929688,77.62230106477313
2021-04-16,131.0689239501953,77.63895799522187
2021-04-19,131.7332000732422,77.72307298735706
2021-04-20,130.0430908203125,77.76462317204471
2021-04-21,130.42410278320312,77.80879451199543
2021-04-22,128.90005493164062,77.8302386715262
2021-04-23,131.2252197265625,77.84108241505204
2021-04-26,131.615966796875,77.91318051812415
2021-04-27,131.29356384277344,77.95279621966907
2021-04-28,130.50228881835938,77.99610576286628
2021-04-29,130.404541015625,78.01772710968214
2021-04-30,128.43109130859375,78.02971875339355
2021-05-03,129.48619079589844,78.10996072231056
2021-05-04,124.90426635742188,78.15336923429096
2021-05-05,125.14851379394533,78.20072892589369
2021-05-06,126.75072479248048,78.22647884821794
2021-05-07,127.42594909667967,78.24250061413143
2021-05-10,124.13780975341795,78.33262544110389
2021-05-11,123.2179183959961,78.37814002368137
2021-05-12,120.14505004882812,78.42684346432488
2021-05-13,122.29801940917967,78.4531151102627
2021-05-14,124.72499084472656,78.46880685417106
2021-05-17,123.57019805908205,78.55298558700024
2021-05-18,122.18058776855467,78.5950594835888
2021-05-19,122.02399444580078,78.6397518989096
2021-05-20,124.58796691894533,78.66156755978176
2021-05-21,122.74816131591795,78.67249761964585
2021-05-24,124.38246154785156,78.74205269691761
2021-05-25,124.1867446899414,78.77963582264844
2021-05-26,124.13780975341795,78.82025911211934
2021-05-27,122.60137939453124,78.83854430896108
2021-05-28,121.94572448730467,78.84658018136314
2021-05-31,121.94572448730467,78.91189736498663
2021-06-01,121.62277221679688,78.94963047871495
2021-06-02,122.3860855102539,78.99116001213669
2021-06-03,120.8985824584961,79.01105487730864
2021-06-04,123.1983413696289,79.0213284507406
2021-06-07,123.20813751220705,79.09610026899236
2021-06-08,124.03016662597656,79.13749286315688
2021-06-09,124.41183471679688,79.18271650925236
2021-06-10,123.41364288330078,79.20620852522718
2021-06-11,124.62712097167967,79.21985724425156
2021-06-14,127.69019317626952,79.30235961822167
2021-06-15,126.8681411743164,79.34526432051663
2021-06-16,127.3672332763672,79.39138809652579
2021-06-17,128.97219848632812,79.41515639107153
2021-06-18,127.67064666748048,79.42847052514405
2021-06-21,129.47129821777344,79.50679078349769
2021-06-22,131.1153564453125,79.54751029787859
2021-06-23,130.84133911132812,79.59123059042383
2021-06-24,130.55755615234375,79.61250171926474
2021-06-25,130.2639617919922,79.62335585984817
2021-06-28,131.8982696533203,79.69582480821859
2021-06-29,133.4151611328125,79.73550576134495
2021-06-30,134.03163146972656,79.77881324754287
2021-07-01,134.33502197265625,79.80037264511482
2021-07-02,136.967529296875,79.81226965525418
2021-07-05,136.967529296875,79.89256805440633
2021-07-06,138.9834442138672,79.93635904595992
2021-07-07,141.4789581298828,79.98443326650305
2021-07-08,140.17738342285156,80.01132771965678
2021-07-09,142.00743103027344,80.02902212373446
2021-07-12,141.4104461669922,80.12824443452898
2021-07-13,142.5260467529297,80.17841041131085
2021-07-14,145.9610137939453,80.23267345055582
2021-07-15,145.30531311035156,80.26545021744867
2021-07-16,143.26002502441406,80.28861419478982
2021-07-19,139.40428161621094,80.40099945471489
2021-07-20,143.02513122558594,80.45433331803058
2021-07-21,142.29115295410156,80.51115139562236
2021-07-22,143.66128540039062,80.54590954658704
