Date,Actual,Predicted,MAE,MSE,RMSE,MAPE,R2
2023-10-08,27935.08984375,27829.19939453125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-09,27583.677734375,27553.10408203125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-10,27391.01953125,27571.77873046875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-11,26873.3203125,26986.41466796875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-12,26756.798828125,26767.49162109375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-13,26862.375,26855.537265625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-14,26861.70703125,26934.98064453125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-15,27159.65234375,27122.733046875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-16,28519.466796875,28497.0769140625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-17,28415.748046875,28373.82859375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-18,28328.341796875,28512.67931640625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-19,28719.806640625,28512.7008203125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-20,29682.94921875,29651.122734375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-21,29918.412109375,30039.7384765625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-22,29993.896484375,29879.148046875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-23,33086.234375,32296.290859375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-24,33901.52734375,34278.9737109375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-25,34502.8203125,34370.610625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-26,34156.6484375,34318.65234375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-27,33909.80078125,34285.7544140625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-28,34089.57421875,34326.623828125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-29,34538.48046875,34411.5961328125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-30,34502.36328125,34642.53734375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-10-31,34667.78125,34537.3959765625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-01,35437.25390625,35033.2796484375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-02,34938.2421875,35391.79015625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-03,34732.32421875,34576.200078125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-04,35082.1953125,35015.9356640625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-05,35049.35546875,35074.849609375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-06,35037.37109375,34982.85734375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-07,35443.5625,35503.6928125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-08,35655.27734375,35643.8761328125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-09,36693.125,37060.46890625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-10,37313.96875,37215.372265625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-11,37138.05078125,37875.9564453125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-12,37054.51953125,37857.3469140625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-13,36502.35546875,37186.626796875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-14,35537.640625,35894.849609375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-15,37880.58203125,36938.190234375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-16,36154.76953125,36449.0341796875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-17,36596.68359375,36373.280078125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-18,36585.703125,36824.11984375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-19,37386.546875,37519.414609375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-20,37476.95703125,38011.529296875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-21,35813.8125,36761.9630078125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-22,37432.33984375,36922.6390234375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-23,37289.62109375,38038.294296875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-24,37720.28125,38099.498203125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-25,37796.79296875,38049.93140625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-26,37479.12109375,37920.6462109375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-27,37254.16796875,37969.7809765625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-28,37831.0859375,38067.642890625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-29,37858.4921875,38193.5823046875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-11-30,37712.74609375,38030.3305859375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-01,38688.75,38334.1978515625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-02,39476.33203125,39113.984296875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-03,39978.390625,39584.5646875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-04,41980.09765625,41868.2147265625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-05,44080.6484375,43810.8811328125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-06,43746.4453125,43725.1068359375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-07,43292.6640625,43610.731015625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-08,44166.6015625,44349.190546875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-09,43725.984375,43976.361328125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-10,43779.69921875,43630.2793359375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-11,41243.83203125,41430.2651171875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-12,41450.22265625,41366.2193359375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-13,42890.7421875,41312.628828125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-14,43023.97265625,42624.1262109375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-15,41929.7578125,42454.1726953125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-16,42240.1171875,42228.278046875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-17,41364.6640625,41908.4898046875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-18,42623.5390625,41381.96,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-19,42270.52734375,42773.800078125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-20,43652.25,43160.028671875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-21,43869.15234375,43753.5557421875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-22,43997.90234375,43994.04453125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-23,43739.54296875,43582.45390625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-24,43016.1171875,43259.822109375,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-25,43613.140625,43308.19328125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-26,42520.40234375,42620.0241015625,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-27,43442.85546875,42842.54203125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-28,42627.85546875,42586.905546875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-29,42099.40234375,42645.381953125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-30,42156.90234375,42112.42421875,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
2023-12-31,42265.1875,42496.298203125,18417.37954143501,690149446.8613355,26270.695591501484,18.152716037357266,-0.06032316425614437
