Metric,Training,Testing
MSE,0.09989566483332502,2491.2158095786776
RMSE,0.31606275458099303,49.912080797925846
MAPE (%),39.35109688281688,20.284345819418355
R²-Score,0.997970513217197,0.44858889172427674
