Dataset,MSE,MAE,RMSE,MAPE,R2 Score
Train,0.0527488764529529,0.11912112325321575,0.2296712355802374,0.23523512172741365,0.9989193807657549
Test,22.803242030013898,3.258437748042416,4.775274026693536,0.027431311527132532,0.994812066391569
