Date,Actual,Predicted
2022-06-15,133.2915802001953,130.55755615234375
2022-06-16,128.00637817382812,128.21617126464844
2022-06-17,129.48268127441406,130.85382080078125
2022-06-20,129.48268127441406,130.85382080078125
2022-06-21,133.72463989257812,133.4151611328125
2022-06-22,133.21282958984375,134.0242156982422
2022-06-23,136.08673095703125,136.967529296875
2022-06-24,139.42320251464844,138.30120849609375
2022-06-27,139.42320251464844,139.98556518554688
2022-06-28,135.2698516845703,139.6528778076172
2022-06-29,137.0315399169922,139.17208862304688
2022-06-30,134.56118774414062,131.56593322753906
2022-07-01,136.7362823486328,136.967529296875
2022-07-04,136.7362823486328,136.967529296875
2022-07-05,139.3247528076172,139.17208862304688
2022-07-06,140.6632843017578,140.89703369140625
2022-07-07,144.03915405273438,143.63150024414062
2022-07-08,144.71820068359375,143.77850341796875
2022-07-11,142.58250427246094,142.70042419433594
2022-07-12,143.55686950683594,143.26002502441406
2022-07-13,143.19273376464844,140.38771057128906
2022-07-14,146.12567138671875,144.78713989257812
2022-07-15,147.79881286621094,146.3618621826172
2022-07-18,144.74778747558594,146.3618621826172
2022-07-19,148.61569213867188,148.11048889160156
2022-07-20,150.6234893798828,150.65281677246094
2022-07-21,152.8970489501953,150.59007263183594
2022-07-22,151.6569061279297,151.00173950195312
2022-07-25,150.53492736816406,151.00173950195312
2022-07-26,149.2062530517578,149.6589813232422
2022-07-27,154.3142852783203,153.5695343017578
2022-07-28,154.86546325683594,153.5695343017578
2022-07-29,159.94398498535156,160.1417236328125
2022-08-01,158.95977783203125,162.00901794433594
2022-08-02,157.4834442138672,161.1539764404297
2022-08-03,163.50680541992188,162.00901794433594
2022-08-04,163.19186401367188,164.5150146484375
2022-08-05,162.96519470214844,164.5150146484375
2022-08-08,162.49209594726562,164.5150146484375
2022-08-09,162.54136657714844,164.5150146484375
2022-08-10,166.79908752441406,166.61227416992188
2022-08-11,166.05990600585938,165.9695281982422
2022-08-12,169.6178436279297,169.81214904785156
2022-08-15,170.69207763671875,169.4190216064453
2022-08-16,170.53440856933594,173.02157592773438
2022-08-17,172.032470703125,172.57373046875
2022-08-18,171.63824462890625,173.02157592773438
2022-08-19,169.04617309570312,169.70404052734375
2022-08-22,165.15313720703125,165.9695281982422
2022-08-23,164.8180389404297,167.4633331298828
2022-08-24,165.1137237548828,167.4633331298828
2022-08-25,167.57769775390625,168.015869140625
2022-08-26,161.2601318359375,163.55189514160156
2022-08-29,159.0524444580078,160.1417236328125
2022-08-30,156.6180877685547,156.2769317626953
2022-08-31,154.9524688720703,156.2769317626953
2022-09-01,155.68179321289062,153.87171936035156
2022-09-02,153.56277465820312,153.9114532470703
2022-09-05,153.56277465820312,153.9114532470703
2022-09-06,152.30123901367188,153.5695343017578
2022-09-07,153.7106170654297,153.5695343017578
2022-09-08,152.23223876953125,153.5695343017578
2022-09-09,155.10028076171875,153.5695343017578
2022-09-12,161.07286071777344,161.1539764404297
2022-09-13,151.62118530273438,155.78811645507812
2022-09-14,153.06996154785156,153.5695343017578
2022-09-15,150.17239379882812,149.6589813232422
2022-09-16,148.52645874023438,146.00328063964844
2022-09-19,152.251953125,150.07064819335938
2022-09-20,154.63702392578125,152.07028198242188
2022-09-21,151.50289916992188,152.06341552734375
2022-09-22,150.53704833984375,149.6589813232422
2022-09-23,148.2603302001953,147.19900512695312
2022-09-26,148.59548950195312,150.07064819335938
2022-09-27,149.5711669921875,152.4171905517578
2022-09-28,147.6788787841797,146.3618621826172
2022-09-29,140.42501831054688,140.0933837890625
2022-09-30,136.20677185058594,140.17738342285156
2022-10-03,140.39544677734375,140.17738342285156
2022-10-04,143.99281311035156,143.63150024414062
2022-10-05,144.2884979248047,144.78713989257812
2022-10-06,143.33248901367188,145.3836212158203
2022-10-07,138.06947326660156,139.6528778076172
2022-10-10,138.39476013183594,138.30120849609375
2022-10-11,136.97549438476562,138.10379028320312
2022-10-12,136.34474182128906,138.10379028320312
2022-10-13,140.92770385742188,140.8502960205078
2022-10-14,136.38417053222656,138.68209838867188
2022-10-17,140.3560333251953,140.89703369140625
2022-10-18,141.67672729492188,138.59645080566406
2022-10-19,141.78512573242188,140.43641662597656
2022-10-20,141.32188415527344,142.7413787841797
2022-10-21,145.1459503173828,144.78713989257812
2022-10-24,147.2945098876953,147.217529296875
2022-10-25,150.14285278320312,148.0242462158203
2022-10-26,147.19595336914062,148.0242462158203
2022-10-27,142.71156311035156,146.3618621826172
2022-10-28,153.49378967285156,146.00328063964844
2022-10-31,151.12838745117188,151.22711181640625
2022-11-01,148.47718811035156,148.0242462158203
2022-11-02,142.93824768066406,149.53160095214844
2022-11-03,136.87698364257812,138.57977294921875
2022-11-04,136.6103973388672,139.418701171875
2022-11-07,137.14349365234375,136.967529296875
2022-11-08,137.71609497070312,138.30120849609375
2022-11-09,133.14527893066406,136.967529296875
2022-11-10,144.9918212890625,139.96595764160156
2022-11-11,147.78564453125,146.3618621826172
2022-11-14,146.3837890625,146.3618621826172
2022-11-15,148.12132263183594,148.0242462158203
2022-11-16,146.88729858398438,145.18577575683594
2022-11-17,148.7926025390625,148.11048889160156
2022-11-18,149.3553009033203,149.6589813232422
2022-11-21,146.11727905273438,147.03237915039062
2022-11-22,148.25950622558594,147.03237915039062
2022-11-23,149.1381378173828,149.53160095214844
2022-11-24,149.1381378173828,149.53160095214844
2022-11-25,146.21597290039062,145.6237030029297
2022-11-28,142.37571716308594,142.70042419433594
2022-11-29,139.36473083496094,138.68209838867188
2022-11-30,146.13699340820312,139.0838623046875
2022-12-01,146.41342163085938,146.72857666015625
2022-12-02,145.91983032226562,145.79745483398438
2022-12-05,144.7549285888672,148.8223876953125
2022-12-06,141.08248901367188,140.38771057128906
2022-12-07,139.13766479492188,139.6528778076172
2022-12-08,140.82579040527344,139.98556518554688
2022-12-09,140.34207153320312,139.98556518554688
2022-12-12,142.6422882080078,138.68209838867188
2022-12-13,143.6097412109375,146.3618621826172
2022-12-14,141.3786163330078,140.57357788085938
2022-12-15,134.75445556640625,139.80917358398438
2022-12-16,132.78988647460938,131.56593322753906
2022-12-19,130.67726135253906,130.404541015625
2022-12-20,130.60818481445312,130.42410278320312
2022-12-21,133.71788024902344,133.4151611328125
2022-12-22,130.5390625,128.98797607421875
2022-12-23,130.1737823486328,130.42410278320312
2022-12-26,130.1737823486328,130.42410278320312
2022-12-27,128.36717224121094,128.21617126464844
2022-12-28,124.42821502685548,127.80046844482422
2022-12-29,127.95255279541016,127.82537841796876
2022-12-30,128.26846313476562,127.42594909667967
2023-01-02,128.26846313476562,127.42594909667967
2023-01-03,123.47061157226562,126.23969268798828
2023-01-04,124.74412536621094,125.64462280273438
2023-01-05,123.42125701904295,123.49853515625
2023-01-06,127.96244049072266,126.23969268798828
2023-01-09,128.4856719970703,130.42410278320312
2023-01-10,129.0582275390625,129.47129821777344
2023-01-11,131.78294372558594,129.48619079589844
2023-01-12,131.70394897460938,130.50228881835938
2023-01-13,133.03668212890625,130.50228881835938
2023-01-16,133.03668212890625,130.50228881835938
2023-01-17,134.20162963867188,134.03163146972656
2023-01-18,133.48092651367188,136.967529296875
2023-01-19,133.54019165039062,134.03163146972656
2023-01-20,136.10691833496094,132.8762664794922
2023-01-23,139.3054962158203,140.17738342285156
2023-01-24,140.7073516845703,140.89703369140625
2023-01-25,140.04592895507812,138.57977294921875
2023-01-26,142.11907958984375,140.43641662597656
2023-01-27,144.06385803222656,143.77850341796875
2023-01-30,141.1713104248047,142.7413787841797
2023-01-31,142.44482421875,141.95553588867188
2023-02-01,143.5702667236328,140.57357788085938
2023-02-02,148.89134216308594,147.19900512695312
2023-02-03,152.52426147460938,146.00328063964844
2023-02-06,149.7896728515625,149.6589813232422
2023-02-07,152.67234802246094,150.65281677246094
2023-02-08,149.97727966308594,149.47279357910156
2023-02-09,148.94068908691406,149.6589813232422
2023-02-10,149.30653381347656,147.9536590576172
2023-02-13,152.11447143554688,149.47279357910156
2023-02-14,151.47178649902344,149.6589813232422
2023-02-15,153.57778930664062,151.22711181640625
2023-02-16,151.97607421875,153.5695343017578
2023-02-17,150.82916259765625,149.6589813232422
2023-02-20,150.82916259765625,149.6589813232422
2023-02-21,146.8050537109375,147.22735595703125
2023-02-22,147.230224609375,147.03237915039062
2023-02-23,147.71469116210938,147.22735595703125
2023-02-24,145.05503845214844,145.3836212158203
2023-02-27,146.25137329101562,145.6237030029297
2023-02-28,145.74713134765625,145.6237030029297
2023-03-01,143.67080688476562,145.2388153076172
2023-03-02,144.2640838623047,143.77850341796875
2023-03-03,149.32627868652344,148.8223876953125
2023-03-06,152.0947265625,153.5695343017578
2023-03-07,149.889892578125,150.59007263183594
2023-03-08,151.14553833007812,151.22711181640625
