Dataset,MSE,MAE,RMSE,MAPE,R2 Score
Train,0.09100409488629825,0.2483683545663286,0.3016688497115641,0.7588084720000946,0.9981356801899485
Test,7.539592312874514,1.8641673318871623,2.7458318070986274,0.017189686089850106,0.9982846779285881
