Date,Actual,Predicted
2022-06-13,129.79762268066406,137.5778539657593
2022-06-14,130.66371154785156,130.7045874404907
2022-06-15,133.2915802001953,129.77395191192628
2022-06-16,128.00637817382812,131.80738788604737
2022-06-17,129.48268127441406,128.38460567474365
2022-06-21,133.72463989257812,129.45367679595947
2022-06-22,133.21282958984375,131.96594139099122
2022-06-23,136.08673095703125,133.30218154907226
2022-06-24,139.42320251464844,138.6238607788086
2022-06-27,139.42320251464844,138.68177391052245
2022-06-28,135.2698516845703,139.27416862487792
2022-06-29,137.0315399169922,137.57955841064452
2022-06-30,134.56118774414062,138.4402785873413
2022-07-01,136.7362823486328,136.4103187942505
2022-07-05,139.3247528076172,138.54799381256103
2022-07-06,140.6632843017578,139.14516613006592
2022-07-07,144.03915405273438,140.76235137939454
2022-07-08,144.71820068359375,144.79871543884278
2022-07-11,142.58250427246094,144.64559997558592
2022-07-12,143.55686950683594,142.34721466064454
2022-07-13,143.19273376464844,143.11097450256347
2022-07-14,146.12567138671875,143.44447700500487
2022-07-15,147.79881286621094,145.5403652191162
2022-07-18,144.74778747558594,146.63444755554198
2022-07-19,148.61569213867188,145.47435691833496
2022-07-20,150.6234893798828,146.6910076904297
2022-07-21,152.8970489501953,150.63528717041015
2022-07-22,151.6569061279297,152.30030471801757
2022-07-25,150.53492736816406,150.38684814453126
2022-07-26,149.2062530517578,149.87859252929687
2022-07-27,154.3142852783203,149.96016746520996
2022-07-28,154.86546325683594,154.56780929565429
2022-07-29,159.94398498535156,155.49499694824217
2022-08-01,158.95977783203125,157.22003303527833
2022-08-02,157.4834442138672,156.94334617614746
2022-08-03,163.50680541992188,160.45234260559081
2022-08-04,163.19186401367188,163.01257431030274
2022-08-05,162.96519470214844,162.67987159729003
2022-08-08,162.49209594726562,161.99344436645507
2022-08-09,162.54136657714844,162.55942520141602
2022-08-10,166.79908752441406,162.47777893066407
2022-08-11,166.05990600585938,164.2691358947754
2022-08-12,169.6178436279297,164.05869689941406
2022-08-15,170.69207763671875,165.48850212097167
2022-08-16,170.53440856933594,171.5772811126709
2022-08-17,172.032470703125,171.26750923156737
2022-08-18,171.63824462890625,171.7352075958252
2022-08-19,169.04617309570312,172.14335571289064
2022-08-22,165.15313720703125,166.45377883911132
2022-08-23,164.8180389404297,165.34429878234863
2022-08-24,165.1137237548828,164.36999351501464
2022-08-25,167.57769775390625,164.45713645935058
2022-08-26,161.2601318359375,165.10776245117188
2022-08-29,159.0524444580078,160.39435745239257
2022-08-30,156.6180877685547,159.3129931640625
2022-08-31,154.9524688720703,157.93355751037598
2022-09-01,155.68179321289062,156.69976196289062
2022-09-02,153.56277465820312,155.9766530609131
2022-09-06,152.30123901367188,154.97017318725585
2022-09-07,153.7106170654297,153.14611267089845
2022-09-08,152.23223876953125,153.90181190490722
2022-09-09,155.10028076171875,150.6334563446045
2022-09-12,161.07286071777344,155.92245307922363
2022-09-13,151.62118530273438,157.32879150390625
2022-09-14,153.06996154785156,152.02868949890137
2022-09-15,150.17239379882812,153.09368049621582
2022-09-16,148.52645874023438,151.3663845062256
2022-09-19,152.251953125,147.1861262512207
2022-09-20,154.63702392578125,151.82570045471192
2022-09-21,151.50289916992188,154.81741065979003
2022-09-22,150.53704833984375,150.80690071105957
2022-09-23,148.2603302001953,150.66570404052734
