Date,Actual,Predicted,MAE,MSE,RMSE,MAPE,R2
2023-10-08,27935.08984375,16370.083443792362,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-09,27583.677734375,16382.573059242883,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-10,27391.01953125,16398.163435063503,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-11,26873.3203125,16444.388323233994,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-12,26756.798828125,16422.66944542522,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-13,26862.375,16470.850755529507,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-14,26861.70703125,16526.623241068373,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-15,27159.65234375,16546.309286309955,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-16,28519.466796875,16601.768381975013,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-17,28415.748046875,16656.267037823167,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-18,28328.341796875,16736.402650374468,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-19,28719.806640625,16742.746736426267,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-20,29682.94921875,16812.403148561287,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-21,29918.412109375,16882.454054879134,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-22,29993.896484375,16908.7620768748,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-23,33086.234375,16962.8898372186,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-24,33901.52734375,17007.979352707865,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-25,34502.8203125,17070.680728784766,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-26,34156.6484375,17051.79540495575,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-27,33909.80078125,17088.829546000252,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-28,34089.57421875,17119.430481159667,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-29,34538.48046875,17100.174843588564,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-30,34502.36328125,17103.470051505115,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-10-31,34667.78125,17093.412076335197,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-01,35437.25390625,17097.68956995655,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-02,34938.2421875,17018.20030392489,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-03,34732.32421875,16993.57628635395,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-04,35082.1953125,16962.59127401901,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-05,35049.35546875,16882.920167778528,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-06,35037.37109375,16828.012764194173,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-07,35443.5625,16762.925610877166,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-08,35655.27734375,16716.202786634858,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-09,36693.125,16590.472232427648,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-10,37313.96875,16524.954575699303,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-11,37138.05078125,16458.858628690385,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-12,37054.51953125,16350.13338376411,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-13,36502.35546875,16272.33917495824,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-14,35537.640625,16190.481804689372,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-15,37880.58203125,16132.90036109173,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-16,36154.76953125,16001.875111850974,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-17,36596.68359375,15936.152039141221,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-18,36585.703125,15874.35769150345,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-19,37386.546875,15773.773558952367,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-20,37476.95703125,15707.231930171234,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-21,35813.8125,15638.976248005183,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-22,37432.33984375,15596.575857258029,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-23,37289.62109375,15481.560675632134,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-24,37720.28125,15431.971499922227,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-25,37796.79296875,15385.798799515116,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-26,37479.12109375,15299.77843389671,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-27,37254.16796875,15246.30556163448,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-28,37831.0859375,15189.309165667706,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-29,37858.4921875,15156.176616498833,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-11-30,37712.74609375,15048.39346609852,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-12-01,38688.75,15004.093992548058,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-12-02,39476.33203125,14961.495308441361,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-12-03,39978.390625,14877.683586363448,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-12-04,41980.09765625,14825.513939029484,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-12-05,44080.6484375,14769.466795692437,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
2023-12-06,43746.4453125,14737.550748512327,76031.6000088655,6905285480.299178,83098.04739161552,91.56147793604322,-9.609056029619529
