Dataset,MAE,RMSE,MAPE,R2 Score
Train,0.2523206126048194,0.27846167373816544,1.0258426343608802,0.9984114885940983
Test,2.2036775710920216,3.3858292610665943,0.017367241730696068,0.9973918779022978
