ticker,model,status,error,MAE,MSE,RMSE,MAPE,R2
AAPL,LSTM,success,,7.599850684472013,126.51030463016389,11.247679966560387,4.929594034412492,0.9740590161877459
AAPL,BiLSTM,success,,4.043559593446569,35.22556035788138,5.935112497491634,3.2813045977688255,0.9927769860827329
AAPL,LSTM-GRU,success,,2.9583585932208254,19.08557449132545,4.368703983028085,2.385358607813077,0.9960864960338655
AAPL,RNN,success,,2.8925379260907755,18.632172377260147,4.316500014741127,2.3464055545947726,0.9961794663016692
AAPL,ANN,success,,13.131643947232488,271.9382354328812,16.490549882671626,10.404676400831029,0.9442389662729866
AMZN,LSTM,success,,4.486837314794779,35.0090778036775,5.916846947798929,2.901971531635245,0.9768460219444182
AMZN,BiLSTM,success,,3.46132975208516,21.170461553098985,4.6011369848222285,2.3155303151565216,0.9859984771670992
AMZN,LSTM-GRU,success,,4.251171390099707,31.457568330855555,5.6087046927838475,2.7045000551215925,0.9791948862263923
AMZN,RNN,success,,3.354217418081211,19.757169889497522,4.444903811051205,2.166699803293441,0.9869331868543599
AMZN,ANN,success,,8.443530652682913,114.56488621598645,10.703498783855046,5.37737097276502,0.9242301417860674
AVGO,LSTM,success,,8.997731666111411,182.9464812485872,13.525771003849917,5.428146337609134,0.9788235573279614
AVGO,BiLSTM,success,,9.284673426236314,201.2275937762021,14.185471221506958,4.808046307142995,0.976707479834806
AVGO,LSTM-GRU,success,,5.810915010923439,85.56628901303156,9.250204809247824,3.330978640962795,0.9900955208234837
AVGO,RNN,success,,7.786092836286779,154.24378271897496,12.419492047542644,3.6711027390590956,0.9821459554730192
AVGO,ANN,success,,8.361415580840218,160.94973097976367,12.686596508905124,4.6126447030219655,0.9813697277591158
BTC-USD,LSTM,success,,2537.9728626568694,10683643.276873833,3268.584292453513,3.264291614100957,0.9794333702374183
BTC-USD,BiLSTM,success,,1984.4369169005945,6720280.492548772,2592.3503799735045,2.510499691087731,0.9870630722863863
BTC-USD,LSTM-GRU,success,,1881.4442391842801,6231001.832076765,2496.197474575432,2.380597685375762,0.9880049619395577
BTC-USD,RNN,success,,2580.1542117321665,10925406.733686661,3305.3603031570797,2.976520795179739,0.9789679616331125
