Date,Actual,Predicted
2016-11-02,25.64236259460449,26.124546
2016-11-03,25.367509841918945,26.003157
2016-11-04,25.13885307312012,25.812534
2016-11-07,25.50147247314453,25.591854
2016-11-08,25.6516056060791,25.744995
2016-11-09,25.61002922058105,25.957804
2016-11-10,24.89633560180664,26.026247
2016-11-11,25.04415702819824,25.565218
2016-11-14,24.41590881347656,25.40163
2016-11-15,24.739273071289062,24.96154
2016-11-16,25.40446662902832,24.969915
2016-11-17,25.39522933959961,25.472454
2016-11-18,25.420631408691406,25.74029
2016-11-21,25.80635452270508,25.833279
2016-11-22,25.82252311706543,26.084206
2016-11-23,25.69087600708008,26.197844
2016-11-25,25.820215225219727,26.1261
2016-11-28,25.769399642944336,26.145182
2016-11-29,25.743993759155277,26.123453
2016-11-30,25.52688217163086,26.092037
2016-12-01,25.28897857666016,25.938536
2016-12-02,25.38368034362793,25.711353
2016-12-05,25.201208114624023,25.679636
2016-12-06,25.39522933959961,25.582848
2016-12-07,25.644676208496094,25.673365
2016-12-08,25.896432876586918,25.902367
2016-12-09,26.319110870361328,26.178356
2016-12-12,26.168983459472656,26.565273
2016-12-13,26.605514526367188,26.624407
2016-12-14,26.605514526367188,26.874601
2016-12-15,26.751022338867188,26.980364
2016-12-16,26.78566551208496,27.086239
2016-12-19,26.94042015075684,27.13938
2016-12-20,27.012020111083984,27.247217
2016-12-21,27.037431716918945,27.33918
2016-12-22,26.85958671569824,27.38829
2016-12-23,26.91270637512207,27.285221
2016-12-27,27.08362579345703,27.259275
2016-12-28,26.9681396484375,27.371706
2016-12-29,26.96121025085449,27.363523
2016-12-30,26.751022338867188,27.344328
2017-01-03,26.827245712280277,27.19962
2017-01-04,26.797216415405277,27.17787
2017-01-05,26.93349266052246,27.168392
2017-01-06,27.233755111694336,27.259878
2017-01-09,27.48320198059082,27.50717
2017-01-10,27.51092338562012,27.787195
2017-01-11,27.65873336791992,27.915298
2017-01-12,27.54325485229492,28.032171
2017-01-13,27.49475479125977,27.988907
2017-01-17,27.716487884521484,27.909924
2017-01-18,27.714170455932614,28.012112
2017-01-19,27.66567039489746,28.073376
2017-01-20,27.716487884521484,28.062918
2017-01-23,27.734962463378903,28.08287
2017-01-24,27.709548950195312,28.106768
2017-01-25,28.15070915222168,28.101362
2017-01-26,28.16456794738769,28.383411
2017-01-27,28.16687393188477,28.54046
2017-01-30,28.092966079711918,28.586338
2017-01-31,28.02829360961914,28.534622
2017-02-01,29.73747444152832,28.452633
2017-02-02,29.686664581298828,29.524933
2017-02-03,29.813701629638672,30.060062
2017-02-06,30.093170166015625,30.278244
2017-02-07,30.379581451416016,30.476183
2017-02-08,30.49736213684082,30.710175
2017-02-09,30.71774673461914,30.864693
2017-02-10,30.648155212402344,31.046387
2017-02-13,30.9195613861084,31.067455
2017-02-14,31.32087135314941,31.227516
2017-02-15,31.434539794921875,31.567394
2017-02-16,31.397422790527344,31.79892
2017-02-17,31.483247756958008,31.850132
2017-02-21,31.71058654785156,31.896585
2017-02-22,31.80568504333496,32.056328
2017-02-23,31.671144485473636,32.193375
2017-02-24,31.70130729675293,32.155983
2017-02-27,31.763940811157227,32.136574
2017-02-28,31.77785301208496,32.17046
2017-03-01,32.4273796081543,32.201633
2017-03-02,32.234832763671875,32.639545
2017-03-03,32.42506408691406,32.739063
2017-03-06,32.3229866027832,32.856716
2017-03-07,32.364742279052734,32.827938
2017-03-08,32.24412536621094,32.817272
2017-03-09,32.16987609863281,32.73138
2017-03-10,32.27658462524414,32.639084
2017-03-13,32.2905158996582,32.67375
2017-03-14,32.24180603027344,32.71761
2017-03-15,32.58280944824219,32.70972
2017-03-16,32.63615417480469,32.92473
2017-03-17,32.47377395629883,33.07259
2017-03-20,32.81477355957031,33.014885
2017-03-21,32.438968658447266,33.181873
2017-03-22,32.80548477172852,33.024693
2017-03-23,32.68949890136719,33.157715
2017-03-24,32.624549865722656,33.167633
2017-03-27,32.68023681640625,33.11475
2017-03-28,33.35758209228516,33.120903
2017-03-29,33.431819915771484,33.572247
2017-03-30,33.387733459472656,33.855297
2017-03-31,33.32511138916016,33.913425
2017-04-03,33.334381103515625,33.853962
2017-04-04,33.582603454589844,33.80898
2017-04-05,33.40861892700195,33.948418
2017-04-06,33.32511138916016,33.91267
2017-04-07,33.250877380371094,33.823597
2017-04-10,33.211448669433594,33.733517
2017-04-11,32.854209899902344,33.675373
2017-04-12,32.893638610839844,33.429356
2017-04-13,32.71967315673828,33.341286
2017-04-17,32.90059280395508,33.220665
2017-04-18,32.75444030761719,33.297073
2017-04-19,32.633846282958984,33.26442
2017-04-20,33.04210662841797,33.16439
2017-04-21,33.002662658691406,33.38282
2017-04-24,33.32047271728516,33.48301
2017-04-25,33.52691650390625,33.71322
2017-04-26,33.32974624633789,33.94693
2017-04-27,33.35526657104492,33.90129
2017-04-28,33.322792053222656,33.852512
2017-05-01,34.00246429443359,33.800903
2017-05-02,34.21820068359375,34.21955
2017-05-03,34.113826751708984,34.58411
2017-05-04,33.99087142944336,34.65107
2017-05-05,34.5545654296875,34.5484
2017-05-08,35.494049072265625,34.84123
2017-05-09,35.72138214111328,35.61224
2017-05-10,35.55203628540039,36.120712
2017-05-11,35.85951232910156,36.164288
2017-05-12,36.36029815673828,36.29832
2017-05-15,36.26713562011719,36.666718
2017-05-16,36.21355819702149,36.768974
2017-05-17,34.9976806640625,36.732956
2017-05-18,35.53107070922852,35.900345
2017-05-19,35.652198791503906,35.820583
2017-05-22,35.86882019042969,35.974586
2017-05-23,35.82456588745117,36.233646
2017-05-24,35.717411041259766,36.337273
2017-05-25,35.84086608886719,36.29329
2017-05-26,35.78030014038086,36.333927
2017-05-30,35.794288635253906,36.316154
