ticker,model,status,error,MAE,MSE,RMSE,MAPE,R2,RMSE_H1,MAPE_H1,MAE_H1,RMSE_H3,MAPE_H3,MAE_H3,RMSE_H7,MAPE_H7,MAE_H7,RMSE_H14,MAPE_H14,MAE_H14,RMSE_H30,MAPE_H30,MAE_H30,RMSE_H60,MAPE_H60,MAE_H60
AAPL,ANN,success,,2.2763584373112673,11.521528345251062,3.394337688747403,1.1092073773364914,0.983448831191371,3.394337688747403,1.1092073773364914,2.2763584373112673,6.312652719843285,2.13570291730573,4.381091098239102,9.300541823503524,3.4059412395305815,7.03858502844327,12.011191780635535,4.558860397693949,9.447682676590723,16.936559896954314,6.528615561006094,13.48552129100661,25.25369219898944,9.631834224916068,20.286852846557437
AAPL,BiLSTM,success,,2.3608585346420616,12.12421118151404,3.4819837997202168,1.1524050992838093,0.9825830514907844,3.4819837997202168,1.1524050992838093,2.3608585346420616,6.324728173873396,2.158857807423813,4.430884139315002,9.459472306206832,3.4670575841238915,7.169401388913288,12.124715260976739,4.58260104997158,9.499165993897826,17.1874620259676,6.503938637904517,13.467363608248887,24.439827207354938,9.261268973486226,19.55850115793139
AAPL,LSTM,success,,2.351828394797133,11.782290668621906,3.432534146752499,1.14482552587405,0.9830742349482589,3.432534146752499,1.14482552587405,2.351828394797133,6.309216529401665,2.1439020604125267,4.398137062538118,9.360953534311774,3.432747254850088,7.065324146086729,12.173500013470054,4.591955971178106,9.474963894157941,17.306875204904646,6.678002042935451,13.79645293642673,24.923870163471094,9.406067444117424,19.90378682861259
AAPL,LSTM-GRU,success,,2.33743465679729,11.86052246293231,3.4439109255223648,1.1381250466068524,0.9829618516259224,3.4439109255223648,1.1381250466068524,2.33743465679729,6.336923163293835,2.146484933538115,4.403994986559119,9.411234817596295,3.446561154867796,7.13513437643784,12.37539726268939,4.6512447570053395,9.640208987369316,17.354173664842747,6.610931514135706,13.62228342340063,24.949132685993927,9.517967028912944,20.035739843023855
AAPL,RNN,success,,2.362368474007218,12.17913613577035,3.4898619078368056,1.1516545826695388,0.9825041494421619,3.4898619078368056,1.1516545826695388,2.362368474007218,6.396754765823986,2.195781577195487,4.509221170339191,9.351399715998056,3.4165217996411923,7.048066284751775,12.059528741953264,4.554941984037198,9.411348152688756,16.97322063108147,6.517754970314009,13.45787279806101,25.239493368501865,9.607926326952091,20.249723947454452
AMZN,ANN,success,,2.5948703336693195,13.639422918406638,3.6931589348966067,1.4336426811832008,0.9888608959855892,3.6931589348966067,1.4336426811832008,2.5948703336693195,6.027719695443899,2.404250662394262,4.381583212938666,8.743637528024493,3.630947692135761,6.652308409759254,11.74290915938224,4.838935971671645,8.945892941134533,16.132925955505574,6.750938132174303,12.419188883764814,22.189436970139162,9.070013472615633,17.272137655998794
AMZN,BiLSTM,success,,2.5754280732287502,13.35832329853817,3.654904006747396,1.4258412703241057,0.9890904656618766,3.654904006747396,1.4258412703241057,2.5754280732287502,6.012419954881578,2.4012647843917305,4.3667274930407265,8.735280646062343,3.6117295652903136,6.610246030343714,11.846656202969712,4.890444864251449,9.046505725738307,16.065990854216402,6.70591706038871,12.293531089618696,21.4717934295516,8.721934193698539,16.5430618666022
AMZN,LSTM,success,,2.578374289159531,13.400008193089073,3.6606021626351413,1.425315430820841,0.9890564222585003,3.6606021626351413,1.425315430820841,2.578374289159531,5.969768705705455,2.3828989886451617,4.340361382098674,8.697096140605854,3.5787322379182607,6.55497393394823,11.673551130919927,4.770005720075932,8.787882951197528,16.33472382181245,6.727092515805043,12.34750614952199,22.47147063885063,9.132169925389167,17.345451988690307
AMZN,LSTM-GRU,success,,2.5738370271904363,13.284865631765557,3.644840961107296,1.4231352661802412,0.9891504573928854,3.644840961107296,1.4231352661802412,2.5738370271904363,6.01491311040789,2.4017177031157804,4.369762710422767,8.738983756960623,3.590425795265874,6.582348939306957,11.61915731494634,4.7569946900857145,8.788350031581727,16.3151538618157,6.7321732966803935,12.366447755969107,22.081756889673006,9.090276088723815,17.32703387415894
AMZN,RNN,success,,2.6214438876573984,13.714146823028663,3.703261646579764,1.445840603837056,0.9887998701378736,3.703261646579764,1.445840603837056,2.6214438876573984,6.051685643018869,2.4427393232739694,4.453132335341806,8.706935161900896,3.6175049139639883,6.622836364573507,11.715594328231047,4.803814921796629,8.871802603144976,16.111805973882344,6.740926634000304,12.38812609324435,22.149055943293007,9.069536354382517,17.274318234646934
AVGO,ANN,success,,3.6055113657779585,34.88198624770392,5.9060973787860895,2.069445028898113,0.9943311474488563,5.9060973787860895,2.069445028898113,3.6055113657779585,10.123303833352372,3.826622816013526,6.651346614477414,14.410917180274481,5.8321953776041005,10.103872346535178,19.51227197874618,7.683931319907757,13.650863552157873,27.070298638663335,10.566436082501667,19.787475189923647,38.155283851718444,14.009760845871947,28.577661908123137
AVGO,BiLSTM,success,,3.739204546461113,35.938643426167985,5.9948847717173,2.1666255075973537,0.9941594246088986,5.9948847717173,2.1666255075973537,3.739204546461113,10.025749330677309,3.935990254642737,6.781364535843965,14.622774161776402,5.966979578936675,10.17394627070154,20.105809082455814,8.15223505035401,14.353959474357001,27.110213825083342,10.901851973104248,19.828808684728664,38.2843409259814,14.17156703530419,28.48751929222449
AVGO,LSTM,success,,3.706219563625446,35.4034131426431,5.950076734181089,2.130815200957498,0.9942464076590226,5.950076734181089,2.130815200957498,3.706219563625446,10.172927049069687,3.9148390714187817,6.780854859657137,14.724281074112731,6.008051373299724,10.316866147562795,20.190463095790648,8.069468377778458,14.342469492247853,26.50910125543316,10.662108100156324,19.634495538718,37.38480691361542,13.710720216275949,27.71383914240942
AVGO,LSTM-GRU,success,,3.904095332984971,39.50356224155786,6.285185935321075,2.237066354501873,0.9935800711575862,6.285185935321075,2.237066354501873,3.904095332984971,10.221661386991093,3.9831848815021234,6.898035358940435,14.87438684805779,6.022279944243439,10.458968253541567,20.219338506505487,8.011092637171576,14.235373826958728,27.095708349933417,10.845990716055246,20.20685832452792,39.106237069708044,14.31731335574633,29.33055935881899
AVGO,RNN,success,,4.105315936369235,42.857545203300596,6.546567436703039,2.3372975468125845,0.9930349979861747,6.546567436703039,2.3372975468125845,4.105315936369235,10.264178173784282,3.921119461384449,6.810889581903993,14.473154660464333,5.88719166820307,10.190652026016128,19.470644960435113,7.724882250134524,13.711055732458755,26.987762748535687,10.675241229035317,19.875460219086055,37.73206041379556,13.810547947689738,28.229777005417233
BTC-USD,ANN,success,,1470.8667799882292,4115723.1203086628,2028.724505769244,1.824695467689168,0.9919568737547511,2028.724505769244,1.824695467689168,1470.8667799882292,3379.854796837371,3.2010649275212457,2570.837440688052,5048.9879571763695,4.8405629812598185,3893.3571539556588,7064.661116716128,6.855211359052523,5512.848583470468,10935.93564246706,10.33968844974363,8577.456051362396,16604.398084946948,15.924538052674661,13461.341262304555
BTC-USD,BiLSTM,success,,1513.3585267540418,4302033.224009655,2074.1343312354807,1.878226916090366,0.9915927783962858,2074.1343312354807,1.878226916090366,1513.3585267540418,3378.6174876893742,3.2295912010853196,2595.2702355804386,5075.736536013174,4.908844125852495,3936.766674791898,7224.910595552346,7.067649186047017,5667.626662482656,10803.683753104291,10.3057018952368,8527.249989398713,17511.200037726736,16.906325366785836,14354.580012031976
BTC-USD,LSTM,success,,1549.6124530086404,4451823.501373049,2109.934477981022,1.9143421679980697,0.9913000516807301,2109.934477981022,1.9143421679980697,1549.6124530086404,3416.267660948268,3.2890135882370157,2643.9395846219895,5102.27514591495,4.91932093016084,3957.4791233251017,7063.494796159479,6.8613428594839805,5503.9317665599965,10664.994447592133,10.206718281748833,8430.116089297182,17251.71317239417,16.674355862605065,14067.450914402621
BTC-USD,LSTM-GRU,success,,1545.8818032616011,4474295.470259476,2115.253051116929,1.9139083054014614,0.9912561359756524,2115.253051116929,1.9139083054014614,1545.8818032616011,3518.1647154607876,3.329278698935974,2665.260951237326,5098.193270193504,4.929161848831465,3958.028623501099,7317.998641803607,7.18334999475872,5761.101848061485,11345.213163653312,10.92853979609784,9059.260382339879,16817.695083546965,16.120132308383393,13598.123608071635
BTC-USD,RNN,success,,1690.3632333311505,5025671.025606666,2241.800844322855,2.1006122500005673,0.9901786137345866,2241.800844322855,2.1006122500005673,1690.3632333311505,3440.4236414613383,3.318103137758819,2661.4508326292266,5082.018133828926,4.924385597351947,3948.93770562213,7033.546569212718,6.86814172544667,5514.574464824732,10749.049643416976,10.251474234420375,8476.794145413765,15871.176294801253,14.913734514001614,12683.632144854058
GOOG,ANN,success,,2.1723516343653295,9.527976254738661,3.086742012986939,1.318587134067177,0.9913822815499967,3.086742012986939,1.318587134067177,2.1723516343653295,5.399624337919443,2.4492607090749736,4.060494327559996,7.861965685393442,3.524732208051365,5.945906044951344,11.771524772038376,5.084737509324247,8.84977545821859,18.968132629826737,7.5497523669941415,14.064109025420127,31.958710478197982,11.72805032200518,23.85788787010799
GOOG,BiLSTM,success,,2.2107304089120494,9.855341494720152,3.1393218208269364,1.3398459276714836,0.9910861912373162,3.1393218208269364,1.3398459276714836,2.2107304089120494,5.427599374496404,2.4860356611364485,4.097914186082576,7.924156192998573,3.5933976852876937,6.006038058338818,11.83320649189015,5.110464153919274,8.809996148133001,19.638029177725844,7.6543182884278655,14.393557034990954,32.00371103359846,11.539285062290668,23.563158301029922
GOOG,LSTM,success,,2.228798447246491,9.772878291922462,3.1261603112960255,1.3477041023559715,0.9911607762955905,3.1261603112960255,1.3477041023559715,2.228798447246491,5.524516185916968,2.478658996947873,4.143081286483374,8.038567718093734,3.57002359398588,6.045989807934966,11.878708644466837,5.08645518522322,8.864333216297346,19.86840081306901,7.778716281551831,14.689196138706341,32.7175132448333,11.763894426296973,24.130118504524123
GOOG,LSTM-GRU,success,,2.2263836491342226,9.742122763738179,3.1212373770250443,1.347717908645273,0.991188593586019,3.1212373770250443,1.347717908645273,2.2263836491342226,5.549870175186578,2.5134824922061196,4.202508186406202,7.9997047564910515,3.5728882803411937,6.049342253204127,11.820593166775895,5.09273467603962,8.870991691708781,18.84462528247334,7.458863230578264,13.83811198927745,31.911149014643488,11.599175237443346,23.59079742104894
GOOG,RNN,success,,2.33944788807664,10.572551128797501,3.251545959816269,1.4187572771978267,0.9904375004208341,3.251545959816269,1.4187572771978267,2.33944788807664,5.412539002360795,2.4720078423472573,4.081211231580503,7.92027474522812,3.5351301715687318,5.966044957732539,11.728389077813851,5.087768316760625,8.834438715783952,19.097035426783766,7.602448220781194,14.18657142041992,31.968549755708413,11.686241186039888,23.786518090476545
META,ANN,success,,8.19983266244518,155.45052269636312,12.467979896373073,1.5393594663941876,0.9921908194580173,12.467979896373073,1.5393594663941876,8.19983266244518,20.749199937056364,2.747645798002797,14.73281987773508,31.326111912496998,4.2875044208573625,23.08904333940866,46.214985073687544,6.321968477693997,34.771155449581094,65.55032096400596,8.940697572403062,49.94215366340922,89.07427530851265,12.185456561144575,70.08846855716457
META,BiLSTM,success,,8.192182084628516,154.29464321276262,12.421539486422873,1.5372952998770812,0.9922488859824371,12.421539486422873,1.5372952998770812,8.192182084628516,21.40413121387499,2.8945705683481298,15.56133052435177,31.668682844895283,4.375061279102487,23.675117717954723,45.19322139359541,6.162324061521495,33.749353706585076,64.57492226377653,8.724036845594755,48.549446258979955,89.09642913126204,12.242197492088247,69.95205909076498
