Dataset,MAE,RMSE,MAPE,R2 Score
Train,0.1565115337861954,0.2456866218610712,0.34254874286391745,0.9987777644531978
Test,2.459629175277397,3.69429868961718,0.019610184530983826,0.9969167743308236
